year,era_citation,pdf_url,legal_outcome,monetary_outcome,paired,disagrees
2010,WA 122/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2289b0c800/wa-122_10.pdf,employee_win,employer_win,yes,yes
2010,AA 325/10,https://determinations.era.govt.nz/assets/elawpdf/2010/22f14a97db/aa-325_10.pdf,employee_win,employee_win,yes,no
2010,CA 211/10,https://determinations.era.govt.nz/assets/elawpdf/2010/24d0752c5d/ca-211_10.pdf,employer_win,employer_win,yes,no
2010,CA 168/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2515450c8f/ca-168_10.pdf,employer_win,employer_win,yes,no
2010,AA 428/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2572218e8e/aa-428_10.pdf,employee_win,employer_win,yes,yes
2010,CA 88/10,https://determinations.era.govt.nz/assets/elawpdf/2010/27a76c3285/ca-88_10.pdf,employee_win,employee_win,yes,no
2010,WA 164/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2874e35e54/wa-164_10.pdf,employee_win,employer_win,yes,yes
2010,AA 160/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2955556039/aa-160_10.pdf,employee_win,employee_win,yes,no
2010,CA 160/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2ba9e7b676/ca-160_10.pdf,employee_win,employee_win,yes,no
2010,AA 242/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2bb2a12dd5/aa-242_10.pdf,employee_win,employee_win,yes,no
2010,AA 403/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2cb3af093f/aa-403_10.pdf,employee_win,employee_win,yes,no
2010,CA 104/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2d09df2615/ca-104_10.pdf,employer_win,employer_win,yes,no
2010,CA 11A/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2e327558de/ca-11a_10.pdf,employee_win,employee_win,yes,no
2010,WA 206/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2ecbf5cd22/wa-206_10.pdf,employer_win,employee_win,yes,yes
2010,AA 509/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2f02d3c95a/aa-509_10.pdf,employer_win,employer_win,yes,no
2010,AA 164/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2f031e18b9/aa-164_10.pdf,employer_win,employer_win,yes,no
2010,CA 231/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2f310b711d/ca-231_10.pdf,employer_win,employee_win,yes,yes
2010,CA 83/10,https://determinations.era.govt.nz/assets/elawpdf/2010/2f990e7712/ca-83_10.pdf,employee_win,employer_win,yes,yes
2010,AA 347/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3004fda7a0/aa-347_10.pdf,employer_win,employee_win,yes,yes
2010,WA 150/10,https://determinations.era.govt.nz/assets/elawpdf/2010/319f635081/wa-150_10.pdf,employer_win,employer_win,yes,no
2010,CA 230/10,https://determinations.era.govt.nz/assets/elawpdf/2010/31c814410d/ca-230_10.pdf,employee_win,employer_win,yes,yes
2010,WA 121/10,https://determinations.era.govt.nz/assets/elawpdf/2010/31c9bfc9dd/wa-121_10.pdf,employee_win,employee_win,yes,no
2010,AA 253/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3362454b32/aa-253_10.pdf,employer_win,employer_win,yes,no
2010,CA 94/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3437bd7b54/ca-94_10.pdf,employee_win,employee_win,yes,no
2010,AA 233/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3536156a97/aa-233_10.pdf,employee_win,employee_win,yes,no
2010,AA 46/10,https://determinations.era.govt.nz/assets/elawpdf/2010/357f762595/aa-46_10.pdf,employee_win,employee_win,yes,no
2010,CA 79/10,https://determinations.era.govt.nz/assets/elawpdf/2010/361cf544a2/ca-79_10.pdf,employer_win,employee_win,yes,yes
2010,AA 125A/10,https://determinations.era.govt.nz/assets/elawpdf/2010/36242c5813/aa-125a_10.pdf,employer_win,employer_win,yes,no
2010,CA 153/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3658c5237f/ca-153_10.pdf,employer_win,employer_win,yes,no
2010,CA 222/10,https://determinations.era.govt.nz/assets/elawpdf/2010/372c4be70d/ca-222_10.pdf,employer_win,employer_win,yes,no
2010,AA 270/10,https://determinations.era.govt.nz/assets/elawpdf/2010/37b3072eae/aa-270_10.pdf,employer_win,employer_win,yes,no
2010,AA 235/10,https://determinations.era.govt.nz/assets/elawpdf/2010/393b9f4509/aa-235_10.pdf,employee_win,employee_win,yes,no
2010,WA 3/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3956f2ea14/wa-3_10.pdf,employer_win,employer_win,yes,no
2010,AA 494/10,https://determinations.era.govt.nz/assets/elawpdf/2010/39ce4f3990/aa-494_10.pdf,employee_win,employee_win,yes,no
2010,WA 81B/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3b71ce4935/wa-81b_10.pdf,employee_win,employee_win,yes,no
2010,WA 77/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3c7c0d2b84/wa-77_10.pdf,employee_win,employee_win,yes,no
2010,AA 426/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3d507342bc/aa-426_10.pdf,employee_win,employee_win,yes,no
2010,AA 71/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3d9d0af552/aa-71_10.pdf,employee_win,employee_win,yes,no
2010,CA 223/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3e0b4b6565/ca-223_10.pdf,employer_win,employer_win,yes,no
2010,CA 176/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3e7e78dc1f/ca-176_10.pdf,employer_win,employee_win,yes,yes
2010,AA 528/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3f38b9bbb4/aa-528_10.pdf,employee_win,employer_win,yes,yes
2010,CA 4/10,https://determinations.era.govt.nz/assets/elawpdf/2010/3f3a776477/ca-4_10.pdf,employee_win,employee_win,yes,no
2010,CA 108/10,https://determinations.era.govt.nz/assets/elawpdf/2010/408fb1be00/ca-108_10.pdf,employee_win,employee_win,yes,no
2010,AA 305/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4093cf7b9e/aa-305_10.pdf,employee_win,employee_win,yes,no
2010,CA 51/10,https://determinations.era.govt.nz/assets/elawpdf/2010/40ace210d5/ca-51_10.pdf,employer_win,employer_win,yes,no
2010,CA 14/10,https://determinations.era.govt.nz/assets/elawpdf/2010/40f6a09008/ca-14_10.pdf,employee_win,employee_win,yes,no
2010,CA 33/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4129853fdc/ca-33_10.pdf,employer_win,employee_win,yes,yes
2010,CA 148/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4300116b88/ca-148_10.pdf,employee_win,employer_win,yes,yes
2010,AA 527/10,https://determinations.era.govt.nz/assets/elawpdf/2010/432b926cda/aa-527_10.pdf,employee_win,employer_win,yes,yes
2010,AA 345/10,https://determinations.era.govt.nz/assets/elawpdf/2010/437abe89e3/aa-345_10.pdf,employer_win,employer_win,yes,no
2010,AA 477/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4540c3649b/aa-477_10.pdf,employee_win,employee_win,yes,no
2010,AA 26/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4636fbc068/aa-26_10.pdf,employer_win,employee_win,yes,yes
2010,CA 21/10,https://determinations.era.govt.nz/assets/elawpdf/2010/463b947b32/ca-21_10.pdf,employer_win,employer_win,yes,no
2010,WA 173/10,https://determinations.era.govt.nz/assets/elawpdf/2010/469c21d5d8/wa-173_10.pdf,employee_win,employee_win,yes,no
2010,AA 412/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4773df01c7/aa-412_10.pdf,employee_win,employee_win,yes,no
2010,AA 149/10,https://determinations.era.govt.nz/assets/elawpdf/2010/478257d708/aa-149_10.pdf,employer_win,employer_win,yes,no
2010,AA 24/10,https://determinations.era.govt.nz/assets/elawpdf/2010/47ca31a47c/aa-24_10.pdf,employee_win,employee_win,yes,no
2010,CA 71/10,https://determinations.era.govt.nz/assets/elawpdf/2010/483ac9c5be/ca-71_10.pdf,employer_win,employee_win,yes,yes
2010,CA 43/10,https://determinations.era.govt.nz/assets/elawpdf/2010/486792fd8d/ca-43_10.pdf,employee_win,employee_win,yes,no
2010,AA 95/10,https://determinations.era.govt.nz/assets/elawpdf/2010/49038a26f9/aa-95_10.pdf,employer_win,employer_win,yes,no
2010,CA 170/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4964bfe2e5/ca-170_10.pdf,employee_win,employer_win,yes,yes
2010,WA 75/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4a762a2b1e/wa-75_10.pdf,employee_win,employer_win,yes,yes
2010,AA 184/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4b3659b1a9/aa-184_10.pdf,employee_win,employer_win,yes,yes
2010,AA 170/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4c284dd6fa/aa-170_10.pdf,employer_win,employee_win,yes,yes
2010,AA 374/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4c3e481990/aa-374_10.pdf,employer_win,employer_win,yes,no
2010,AA 510/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4d8f49b74c/aa-510_10.pdf,employee_win,employee_win,yes,no
2010,AA 377/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4dedf93783/aa-377_10.pdf,employee_win,employee_win,yes,no
2010,CA 8/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4dfd46e290/ca-8_10.pdf,employee_win,employee_win,yes,no
2010,AA 459/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4ee17ce20b/aa-459_10.pdf,employee_win,employee_win,yes,no
2010,AA 298/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4ee95022c2/aa-298_10.pdf,employer_win,employer_win,yes,no
2010,CA 193/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4f1b62568e/ca-193_10.pdf,employee_win,employee_win,yes,no
2010,AA 309/10,https://determinations.era.govt.nz/assets/elawpdf/2010/4f6130109d/aa-309_10.pdf,employer_win,employer_win,yes,no
2010,CA 67/10,https://determinations.era.govt.nz/assets/elawpdf/2010/506e3860c6/ca-67_10.pdf,employer_win,employer_win,yes,no
2010,WA 136/10,https://determinations.era.govt.nz/assets/elawpdf/2010/508f9db2cd/wa-136_10.pdf,employee_win,employee_win,yes,no
2010,WA 23/10,https://determinations.era.govt.nz/assets/elawpdf/2010/50fd84659c/wa-23_10.pdf,employer_win,employer_win,yes,no
2010,AA 110/10,https://determinations.era.govt.nz/assets/elawpdf/2010/516a07e6f9/aa-110_10.pdf,employer_win,employer_win,yes,no
2010,CA 34/10,https://determinations.era.govt.nz/assets/elawpdf/2010/516ea9157e/ca-34_10.pdf,employee_win,employer_win,yes,yes
2010,CA 103/10,https://determinations.era.govt.nz/assets/elawpdf/2010/519597ad66/ca-103_10.pdf,employee_win,employee_win,yes,no
2010,AA 106/10,https://determinations.era.govt.nz/assets/elawpdf/2010/51b36f7b2c/aa-106_10.pdf,employer_win,employer_win,yes,no
2010,AA 201/10,https://determinations.era.govt.nz/assets/elawpdf/2010/52231daa32/aa-201_10.pdf,employer_win,employer_win,yes,no
2010,CA 147/10,https://determinations.era.govt.nz/assets/elawpdf/2010/53097ab383/ca-147_10.pdf,employer_win,employer_win,yes,no
2010,WA 83/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5338525b1a/wa-83_10.pdf,employee_win,employee_win,yes,no
2010,WA 73/10,https://determinations.era.govt.nz/assets/elawpdf/2010/544155f8c0/wa-73_10.pdf,employee_win,employer_win,yes,yes
2010,AA 306/10,https://determinations.era.govt.nz/assets/elawpdf/2010/56e1ebdcfd/aa-306_10.pdf,employee_win,employee_win,yes,no
2010,WA 40/10,https://determinations.era.govt.nz/assets/elawpdf/2010/577cf22ed2/wa-40_10.pdf,employee_win,employee_win,yes,no
2010,AA 456/10,https://determinations.era.govt.nz/assets/elawpdf/2010/57e8f34f2b/aa-456_10.pdf,employee_win,employee_win,yes,no
2010,AA 421/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5a1ba6f874/aa-421_10.pdf,employer_win,employer_win,yes,no
2010,AA 288/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5c9f966074/aa-288_10.pdf,employer_win,employer_win,yes,no
2010,CA 6B/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5cbbb0b781/ca-6b_10.pdf,employee_win,employee_win,yes,no
2010,WA 127/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5d6dc8b5ad/wa-127_10.pdf,employer_win,employee_win,yes,yes
2010,AA 304/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5d9dab4f12/aa-304_10.pdf,employee_win,employee_win,yes,no
2010,CA 36/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5dc9f8e17b/ca-36_10.pdf,employer_win,employer_win,yes,no
2010,WA 113/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5dcc47ea95/wa-113_10.pdf,employee_win,employee_win,yes,no
2010,AA 402/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5e7ff3750c/aa-402_10.pdf,employer_win,employer_win,yes,no
2010,AA 262/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5f20b12e06/aa-262_10.pdf,employee_win,employer_win,yes,yes
2010,CA 63/10,https://determinations.era.govt.nz/assets/elawpdf/2010/5f5628e16b/ca-63_10.pdf,employee_win,employer_win,yes,yes
2010,AA 9A/10,https://determinations.era.govt.nz/assets/elawpdf/2010/62a67267ad/aa-9a_10.pdf,employee_win,employee_win,yes,no
2010,CA 37/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6380bddcb3/ca-37_10.pdf,employer_win,employee_win,yes,yes
2010,AA 382/10,https://determinations.era.govt.nz/assets/elawpdf/2010/647392403b/aa-382_10.pdf,employer_win,employee_win,yes,yes
2010,AA 111/10,https://determinations.era.govt.nz/assets/elawpdf/2010/652e4fc6a4/aa-111_10.pdf,employee_win,employee_win,yes,no
2010,AA 328/10,https://determinations.era.govt.nz/assets/elawpdf/2010/653e5bb979/aa-328_10.pdf,employer_win,employer_win,yes,no
2010,CA 197/10,https://determinations.era.govt.nz/assets/elawpdf/2010/660decb32f/ca-197_10.pdf,employer_win,employer_win,yes,no
2010,AA 205/10,https://determinations.era.govt.nz/assets/elawpdf/2010/66ef9ead76/aa-205_10.pdf,employee_win,employer_win,yes,yes
2010,AA 179/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6737ed1c88/aa-179_10.pdf,employer_win,employer_win,yes,no
2010,AA 102/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6775d21c54/aa-102_10.pdf,employer_win,employer_win,yes,no
2010,AA 373/10,https://determinations.era.govt.nz/assets/elawpdf/2010/67d01c8218/aa-373_10.pdf,employer_win,employer_win,yes,no
2010,WA 167/10,https://determinations.era.govt.nz/assets/elawpdf/2010/688b107281/wa-167_10.pdf,employee_win,employee_win,yes,no
2010,AA 150/10,https://determinations.era.govt.nz/assets/elawpdf/2010/693129aec3/aa-150_10.pdf,employer_win,employer_win,yes,no
2010,WA 104/10,https://determinations.era.govt.nz/assets/elawpdf/2010/69b127167b/wa-104_10.pdf,employer_win,employer_win,yes,no
2010,AA 415/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6aa32aa6f5/aa-415_10.pdf,employee_win,employee_win,yes,no
2010,AA 462/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6aee800b6b/aa-462_10.pdf,employee_win,employer_win,yes,yes
2010,AA 387/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6d204a1d5f/aa-387_10.pdf,employee_win,employee_win,yes,no
2010,AA 265/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6d3bf30d6f/aa-265_10.pdf,employee_win,employer_win,yes,yes
2010,AA 331/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6d4329125b/aa-331_10.pdf,employee_win,employer_win,yes,yes
2010,WA 34/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6e9770edd1/wa-34_10.pdf,employee_win,employee_win,yes,no
2010,AA 491/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6ede05e855/aa-491_10.pdf,employee_win,employer_win,yes,yes
2010,AA 44/10,https://determinations.era.govt.nz/assets/elawpdf/2010/6f7352540a/aa-44_10.pdf,employer_win,employer_win,yes,no
2010,CA 174/10,https://determinations.era.govt.nz/assets/elawpdf/2010/702ca470e2/ca-174_10.pdf,employer_win,employer_win,yes,no
2010,AA 409/10,https://determinations.era.govt.nz/assets/elawpdf/2010/706d55beb0/aa-409_10.pdf,employer_win,employer_win,yes,no
2010,WA 87/10,https://determinations.era.govt.nz/assets/elawpdf/2010/70f44e2f15/wa-87_10.pdf,employee_win,employee_win,yes,no
2010,AA 471/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7167c8a728/aa-471_10.pdf,employee_win,employee_win,yes,no
